DateTime,SoC (%),Voltage (V),Current (A),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Cell 5 Voltage (V),Cell 6 Voltage (V),Cell 7 Voltage (V),Cell 8 Voltage (V),Cell 9 Voltage (V),Cell 10 Voltage (V),Cell 11 Voltage (V),Cell 12 Voltage (V),Cell 13 Voltage (V),Cell 14 Voltage (V),Cell 15 Voltage (V),Cell 16 Voltage (V),Cell 17 Voltage (V),Cell 18 Voltage (V),Cell 19 Voltage (V),Cell 20 Voltage (V),Remaining_Ah,Cell_Avg (V),Cell_Min (V),Cell_Max (V),Power_Temp,Balance_Temp,Cell_Temp_1 (raw),Cell_Temp_2 (raw),Status_Charge,Status_Discharge,Status_Balance
2024-12-12 19:42:39,34,72.7,-0.0,3.619,3.641,3.637,3.587,3.64,3.592,3.664,3.614,3.658,3.628,3.649,3.661,3.63,3.638,3.6590000000000003,3.645,3.641,3.636,3.658,3.6590000000000003,0.708345,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:42:44,34,72.7,-0.0,3.62,3.641,3.638,3.586,3.6390000000000002,3.59,3.665,3.613,3.658,3.628,3.649,3.661,3.63,3.638,3.6590000000000003,3.644,3.64,3.6350000000000002,3.658,3.6590000000000003,0.708345,3.637,3.586,3.665,30,33,28,28,1,1,0
2024-12-12 19:42:49,34,72.7,-0.0,3.619,3.641,3.638,3.583,3.64,3.589,3.665,3.612,3.658,3.6270000000000002,3.649,3.661,3.63,3.638,3.6590000000000003,3.644,3.64,3.6350000000000002,3.658,3.6590000000000003,0.708345,3.637,3.583,3.665,30,33,28,28,1,1,0
2024-12-12 19:42:55,34,72.7,-0.0,3.619,3.641,3.637,3.5820000000000003,3.64,3.587,3.664,3.613,3.658,3.6270000000000002,3.649,3.661,3.63,3.637,3.6590000000000003,3.644,3.64,3.6350000000000002,3.658,3.6590000000000003,0.708345,3.637,3.5820000000000003,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:00,34,72.7,-0.0,3.619,3.641,3.637,3.587,3.6390000000000002,3.591,3.664,3.614,3.658,3.628,3.649,3.661,3.6310000000000002,3.638,3.6590000000000003,3.644,3.64,3.6350000000000002,3.658,3.6590000000000003,0.708345,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:05,34,72.7,-0.0,3.619,3.641,3.637,3.586,3.64,3.592,3.664,3.613,3.658,3.628,3.649,3.661,3.6310000000000002,3.638,3.6590000000000003,3.644,3.641,3.636,3.6590000000000003,3.6590000000000003,0.708345,3.637,3.586,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:10,34,72.7,-0.0,3.619,3.641,3.638,3.587,3.6390000000000002,3.592,3.664,3.614,3.658,3.628,3.649,3.661,3.6310000000000002,3.638,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.708345,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:16,34,72.7,-0.0,3.619,3.642,3.637,3.587,3.6390000000000002,3.592,3.664,3.613,3.658,3.628,3.649,3.661,3.6310000000000002,3.6390000000000002,3.6590000000000003,3.645,3.641,3.636,3.6590000000000003,3.6590000000000003,0.708345,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:21,34,72.7,-0.0,3.62,3.642,3.638,3.587,3.64,3.592,3.664,3.614,3.658,3.628,3.649,3.661,3.6310000000000002,3.638,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7091719999999999,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:26,34,72.7,-0.0,3.619,3.641,3.638,3.587,3.64,3.592,3.664,3.614,3.658,3.628,3.649,3.661,3.6310000000000002,3.638,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7091719999999999,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:31,34,72.7,-0.0,3.619,3.641,3.637,3.587,3.6390000000000002,3.592,3.664,3.613,3.658,3.628,3.65,3.661,3.6310000000000002,3.6390000000000002,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7091719999999999,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:37,34,72.7,-0.0,3.619,3.642,3.638,3.586,3.6390000000000002,3.592,3.665,3.613,3.658,3.628,3.649,3.661,3.63,3.6390000000000002,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7091719999999999,3.637,3.586,3.665,30,33,28,28,1,1,0
2024-12-12 19:43:42,34,72.7,-0.0,3.619,3.642,3.637,3.5820000000000003,3.6390000000000002,3.588,3.664,3.612,3.658,3.6270000000000002,3.649,3.661,3.629,3.638,3.6590000000000003,3.644,3.641,3.6350000000000002,3.658,3.6590000000000003,0.7091719999999999,3.637,3.5820000000000003,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:47,34,72.7,-0.0,3.619,3.641,3.637,3.5820000000000003,3.64,3.588,3.664,3.612,3.658,3.626,3.649,3.662,3.629,3.637,3.6590000000000003,3.6430000000000002,3.64,3.6350000000000002,3.658,3.6590000000000003,0.7091719999999999,3.636,3.5820000000000003,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:53,34,72.7,-0.0,3.619,3.641,3.637,3.586,3.6390000000000002,3.591,3.664,3.614,3.658,3.628,3.649,3.661,3.6310000000000002,3.6390000000000002,3.658,3.644,3.641,3.636,3.658,3.6590000000000003,0.7091719999999999,3.637,3.586,3.664,30,33,28,28,1,1,0
2024-12-12 19:43:58,34,72.7,-0.0,3.618,3.641,3.637,3.587,3.64,3.592,3.664,3.613,3.658,3.628,3.649,3.661,3.63,3.6390000000000002,3.6590000000000003,3.644,3.64,3.636,3.658,3.6590000000000003,0.7091719999999999,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:44:03,34,72.7,-0.0,3.619,3.642,3.637,3.587,3.64,3.592,3.664,3.614,3.658,3.628,3.649,3.661,3.63,3.6390000000000002,3.6590000000000003,3.644,3.64,3.636,3.658,3.6590000000000003,0.7091719999999999,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:44:09,34,72.7,-0.0,3.619,3.641,3.637,3.587,3.6390000000000002,3.592,3.664,3.614,3.658,3.629,3.649,3.661,3.63,3.6390000000000002,3.6590000000000003,3.644,3.64,3.636,3.658,3.6590000000000003,0.7091719999999999,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:44:14,34,72.7,-0.0,3.619,3.641,3.637,3.587,3.6390000000000002,3.591,3.664,3.614,3.658,3.628,3.649,3.661,3.63,3.6390000000000002,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7091719999999999,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:44:19,34,72.7,-0.0,3.619,3.641,3.637,3.587,3.64,3.592,3.664,3.614,3.658,3.628,3.649,3.661,3.6310000000000002,3.6390000000000002,3.66,3.644,3.641,3.636,3.658,3.6590000000000003,0.7095859999999999,3.637,3.587,3.664,30,33,28,28,1,1,0
2024-12-12 19:44:24,34,72.7,-0.0,3.619,3.641,3.638,3.586,3.64,3.592,3.665,3.613,3.658,3.628,3.649,3.661,3.6310000000000002,3.6390000000000002,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7095859999999999,3.637,3.586,3.665,30,33,28,28,1,1,0
2024-12-12 19:44:30,34,72.7,-0.0,3.619,3.641,3.637,3.583,3.6390000000000002,3.589,3.664,3.612,3.658,3.6270000000000002,3.649,3.661,3.629,3.637,3.6590000000000003,3.644,3.641,3.6350000000000002,3.658,3.6590000000000003,0.7095859999999999,3.637,3.583,3.664,30,33,28,28,1,1,0
2024-12-12 19:44:35,34,72.7,-0.0,3.619,3.641,3.638,3.5820000000000003,3.6390000000000002,3.588,3.665,3.612,3.658,3.6270000000000002,3.649,3.661,3.629,3.637,3.6590000000000003,3.644,3.641,3.6350000000000002,3.658,3.6590000000000003,0.7095859999999999,3.637,3.5820000000000003,3.665,30,33,28,28,1,1,0
2024-12-12 19:44:40,34,72.7,-0.0,3.619,3.641,3.637,3.586,3.6390000000000002,3.591,3.665,3.613,3.658,3.628,3.649,3.661,3.63,3.638,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7095859999999999,3.637,3.586,3.665,30,33,28,28,1,1,0
2024-12-12 19:44:45,34,72.7,-0.0,3.619,3.64,3.638,3.585,3.6390000000000002,3.591,3.664,3.614,3.658,3.628,3.649,3.661,3.63,3.638,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7095859999999999,3.637,3.585,3.664,30,33,28,28,1,1,0
2024-12-12 19:44:51,34,72.7,-0.0,3.62,3.641,3.637,3.586,3.64,3.592,3.664,3.614,3.658,3.628,3.649,3.661,3.63,3.638,3.6590000000000003,3.644,3.64,3.636,3.658,3.6590000000000003,0.7095859999999999,3.637,3.586,3.664,30,33,28,28,1,1,0
2024-12-12 19:44:56,34,72.7,-0.0,3.619,3.641,3.637,3.588,3.6390000000000002,3.592,3.664,3.614,3.658,3.628,3.649,3.661,3.6310000000000002,3.6390000000000002,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7095859999999999,3.637,3.588,3.664,30,33,28,28,1,1,0
2024-12-12 19:45:01,34,72.7,-0.0,3.619,3.641,3.637,3.587,3.6390000000000002,3.591,3.665,3.614,3.657,3.628,3.648,3.661,3.6310000000000002,3.638,3.6590000000000003,3.644,3.64,3.636,3.658,3.6590000000000003,0.7095859999999999,3.637,3.587,3.665,30,33,28,28,1,1,0
2024-12-12 19:45:07,34,72.7,-0.0,3.619,3.641,3.637,3.586,3.6390000000000002,3.591,3.665,3.614,3.658,3.628,3.649,3.661,3.6310000000000002,3.638,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7095859999999999,3.637,3.586,3.665,30,33,28,28,1,1,0
2024-12-12 19:45:12,34,72.7,-0.0,3.619,3.641,3.638,3.586,3.6390000000000002,3.59,3.664,3.614,3.658,3.628,3.649,3.661,3.63,3.6390000000000002,3.6590000000000003,3.644,3.64,3.636,3.658,3.6590000000000003,0.7095859999999999,3.637,3.586,3.664,30,33,28,28,1,1,0
2024-12-12 19:45:17,34,72.7,-0.0,3.619,3.641,3.637,3.583,3.6390000000000002,3.588,3.664,3.612,3.658,3.6270000000000002,3.649,3.661,3.63,3.637,3.6590000000000003,3.644,3.641,3.6350000000000002,3.658,3.6590000000000003,0.7095859999999999,3.637,3.583,3.664,30,33,28,28,1,1,0
2024-12-12 19:45:22,34,72.7,-0.0,3.619,3.641,3.636,3.5820000000000003,3.6390000000000002,3.587,3.664,3.612,3.6590000000000003,3.6270000000000002,3.649,3.661,3.629,3.637,3.6590000000000003,3.644,3.64,3.6350000000000002,3.658,3.6590000000000003,0.7095859999999999,3.636,3.5820000000000003,3.664,30,33,28,28,1,1,0
2024-12-12 19:45:28,34,72.7,-0.0,3.619,3.641,3.637,3.585,3.64,3.59,3.664,3.613,3.658,3.628,3.65,3.661,3.63,3.638,3.66,3.645,3.641,3.6350000000000002,3.658,3.6590000000000003,0.7095859999999999,3.637,3.585,3.664,30,33,28,28,1,1,0
2024-12-12 19:45:33,34,72.7,-0.0,3.619,3.642,3.637,3.586,3.64,3.591,3.665,3.613,3.658,3.628,3.65,3.661,3.6310000000000002,3.638,3.6590000000000003,3.644,3.641,3.636,3.658,3.6590000000000003,0.7095859999999999,3.637,3.586,3.665,30,33,28,28,1,1,0
